|  order|    col|   calc|  accepted |
|       | pixels|  $\AA$|     $\AA$ |
      44      33  17258.7    17247.9  
      44      39  17260.2    17249.3  
      44     181  17295.1    17282.6  
      44     265  17315.8    17303.2  
      44     380  17344.2    17330.6  
      44     462  17364.4    17351.5  
      44     498  17373.2    17359.6  
      44     592  17396.4    17382.9  
      44     599  17398.1    17384.7  
      44     607  17400.1    17386.5  
      44     769  17440.0    17427.0  
      44     860  17462.4    17449.8  
