     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   1.581363e+04   1.091e+03   1.110e+01   1.258e-01   4.529e+01   1.074e+00    3.120e+02    2.510e+02   2.815e+02   2.809e+02  -5.546e-01  
       1   1.581385e+04   1.128e+03   1.183e+01   1.258e-01   4.674e+01   1.074e+00    3.112e+02    2.505e+02   2.808e+02   2.810e+02   1.181e-01  
       2   1.581406e+04   1.066e+03   6.142e+00   1.258e-01   4.390e+01   1.040e+00    3.111e+02    2.509e+02   2.810e+02   2.810e+02  -1.634e-02  
       3   1.581428e+04   9.538e+02   6.906e+00   1.258e-01   3.909e+01   1.014e+00    3.112e+02    2.509e+02   2.810e+02   2.810e+02  -1.965e-02  
       4   1.581450e+04   9.038e+02   8.715e+00   1.258e-01   3.632e+01   9.987e-01    3.110e+02    2.507e+02   2.809e+02   2.810e+02   1.315e-01  
       5   1.581471e+04   9.352e+02   5.910e+00   1.258e-01   3.859e+01   1.034e+00    3.109e+02    2.507e+02   2.808e+02   2.810e+02   2.149e-01  
       6   1.581493e+04   9.534e+02   8.207e+00   1.258e-01   3.951e+01   1.042e+00    3.116e+02    2.506e+02   2.811e+02   2.810e+02  -1.046e-01  
       7   1.581515e+04   1.017e+03   9.160e+00   1.258e-01   4.262e+01   1.070e+00    3.116e+02    2.508e+02   2.812e+02   2.810e+02  -1.774e-01  
       8   1.581536e+04   1.039e+03   6.520e+00   1.258e-01   4.278e+01   1.042e+00    3.109e+02    2.507e+02   2.808e+02   2.810e+02   2.084e-01  
       9   1.581558e+04   1.111e+03   6.173e+00   1.258e-01   4.637e+01   1.072e+00    3.113e+02    2.506e+02   2.809e+02   2.811e+02   1.245e-01  
      10   1.581579e+04   1.092e+03   7.565e+00   1.258e-01   4.408e+01   1.035e+00    3.112e+02    2.508e+02   2.810e+02   2.811e+02   8.579e-02  
      11   1.581601e+04   1.132e+03   5.609e+00   1.258e-01   4.613e+01   1.042e+00    3.111e+02    2.509e+02   2.810e+02   2.811e+02   5.385e-02  
      12   1.581623e+04   1.149e+03   8.339e+00   1.258e-01   4.615e+01   1.038e+00    3.109e+02    2.508e+02   2.809e+02   2.811e+02   2.397e-01  
      13   1.581644e+04   1.129e+03   9.674e+00   1.258e-01   4.571e+01   1.052e+00    3.114e+02    2.510e+02   2.812e+02   2.811e+02  -4.833e-02  
      14   1.581666e+04   1.154e+03   8.987e+00   1.258e-01   4.682e+01   1.051e+00    3.108e+02    2.510e+02   2.809e+02   2.811e+02   2.275e-01  
      15   1.581688e+04   1.098e+03   6.751e+00   1.258e-01   4.512e+01   1.057e+00    3.112e+02    2.509e+02   2.811e+02   2.811e+02   7.068e-02  
      16   1.581709e+04   1.128e+03   6.663e+00   1.258e-01   4.579e+01   1.040e+00    3.110e+02    2.509e+02   2.810e+02   2.812e+02   1.803e-01  
      17   1.581731e+04   1.123e+03   6.312e+00   1.258e-01   4.577e+01   1.042e+00    3.116e+02    2.509e+02   2.813e+02   2.812e+02  -8.811e-02  
      18   1.581752e+04   1.136e+03   7.103e+00   1.258e-01   4.539e+01   1.024e+00    3.115e+02    2.508e+02   2.811e+02   2.812e+02   5.650e-02  
      19   1.581774e+04   1.122e+03   7.800e+00   1.258e-01   4.569e+01   1.044e+00    3.120e+02    2.509e+02   2.814e+02   2.812e+02  -2.427e-01  
      20   1.581796e+04   1.110e+03   8.625e+00   1.258e-01   4.433e+01   1.025e+00    3.115e+02    2.512e+02   2.814e+02   2.812e+02  -1.483e-01  
      21   1.581817e+04   1.170e+03   6.266e+00   1.258e-01   4.810e+01   1.063e+00    3.114e+02    2.510e+02   2.812e+02   2.812e+02   1.244e-02  
      22   1.581839e+04   1.099e+03   7.063e+00   1.258e-01   4.457e+01   1.037e+00    3.115e+02    2.510e+02   2.813e+02   2.812e+02  -4.742e-02  
      23   1.581861e+04   1.148e+03   5.410e+00   1.258e-01   4.801e+01   1.081e+00    3.119e+02    2.510e+02   2.815e+02   2.812e+02  -2.125e-01  
      24   1.581882e+04   1.096e+03   6.071e+00   1.258e-01   4.450e+01   1.039e+00    3.119e+02    2.510e+02   2.814e+02   2.813e+02  -1.591e-01  
      25   1.581904e+04   1.143e+03   4.264e+00   1.258e-01   4.769e+01   1.074e+00    3.118e+02    2.509e+02   2.813e+02   2.813e+02  -5.253e-02  
      26   1.581926e+04   1.071e+03   3.583e+00   1.258e-01   4.420e+01   1.048e+00    3.120e+02    2.512e+02   2.816e+02   2.813e+02  -2.929e-01  
      27   1.581947e+04   1.030e+03   5.093e+00   1.258e-01   4.357e+01   1.072e+00    3.116e+02    2.511e+02   2.813e+02   2.813e+02  -5.041e-02  
      28   1.581969e+04   1.008e+03   5.145e+00   1.258e-01   4.217e+01   1.055e+00    3.117e+02    2.510e+02   2.814e+02   2.813e+02  -4.806e-02  
      29   1.581991e+04   1.044e+03   4.956e+00   1.258e-01   4.401e+01   1.071e+00    3.118e+02    2.510e+02   2.814e+02   2.813e+02  -9.243e-02  
      30   1.582012e+04   1.039e+03   4.698e+00   1.258e-01   4.295e+01   1.042e+00    3.115e+02    2.508e+02   2.811e+02   2.813e+02   1.992e-01  
      31   1.582034e+04   1.095e+03   6.833e+00   1.258e-01   4.505e+01   1.045e+00    3.114e+02    2.510e+02   2.812e+02   2.813e+02   1.423e-01  
      32   1.582056e+04   1.129e+03   4.763e+00   1.258e-01   4.570e+01   1.041e+00    3.117e+02    2.512e+02   2.815e+02   2.814e+02  -9.972e-02  
      33   1.582077e+04   1.084e+03   5.410e+00   1.258e-01   4.568e+01   1.080e+00    3.118e+02    2.510e+02   2.814e+02   2.814e+02  -6.305e-02  
      34   1.582099e+04   1.031e+03   6.242e+00   1.258e-01   4.250e+01   1.048e+00    3.119e+02    2.510e+02   2.815e+02   2.814e+02  -9.109e-02  
      35   1.582121e+04   1.009e+03   8.906e+00   1.258e-01   4.271e+01   1.081e+00    3.118e+02    2.512e+02   2.815e+02   2.814e+02  -1.000e-01  
      36   1.582142e+04   1.056e+03   9.342e+00   1.258e-01   4.336e+01   1.054e+00    3.120e+02    2.510e+02   2.815e+02   2.814e+02  -1.039e-01  
