     row  mean_flux  
  pixels     counts  
       0        148  
       1        150  
       2        150  
       3        151  
       4        151  
       5        151  
       6        153  
       7        157  
       8        167  
       9        188  
      10        233  
      11        294  
      12        336  
      13        351  
      14        326  
      15        260  
      16        197  
      17        167  
      18        157  
      19        154  
      20        153  
      21        152  
      22        151  
      23        150  
      24        149  
      25        149  
      26        150  
      27        150  
      28        149  
      29        148  
      30        149  
      31        148  
      32        148  
      33        148  
      34        148  
      35        148  
      36        148  
      37        148  
      38        148  
      39        148  
      40        148  
      41        148  
      42        148  
      43        148  
      44        148  
      45        148  
      46        148  
      47        148  
      48        148  
      49        148  
      50        148  
      51        148  
      52        148  
