   order  source       col       wave_exp       wave_fit        res    peak             disp  
                    pixels      Angstroms      Angstroms  Angstroms  counts  Angstroms/pixel  
      50     sky   259.127   1.524079e+04   1.524034e+04      0.445     980        2.116e-01  
      50     sky   479.803   1.528775e+04   1.528733e+04      0.413     429        2.143e-01  
      50     sky   686.208   1.533270e+04   1.533182e+04      0.881     724        2.168e-01  
      50     sky   973.025   1.539526e+04   1.539451e+04      0.747     338        2.203e-01  
      49     sky    33.011   1.550057e+04   1.550038e+04      0.186      80        2.126e-01  
      49     sky    75.229   1.550956e+04   1.550937e+04      0.185     170        2.132e-01  
      49     sky   113.290   1.551771e+04   1.551750e+04      0.206      51        2.137e-01  
      49     sky   216.288   1.553971e+04   1.553959e+04      0.121     208        2.152e-01  
      49     sky   222.096   1.554094e+04   1.554084e+04      0.106     206        2.153e-01  
      49     sky   246.199   1.554589e+04   1.554603e+04      0.141     196        2.156e-01  
      49     sky   357.555   1.557007e+04   1.557013e+04      0.057     129        2.171e-01  
      49     sky   483.505   1.559744e+04   1.559759e+04      0.148     414        2.189e-01  
      49     sky   637.270   1.563097e+04   1.563141e+04      0.439     260        2.210e-01  
      49     sky   742.407   1.565483e+04   1.565473e+04      0.105     553        2.225e-01  
      49     sky   746.424   1.565618e+04   1.565562e+04      0.557      84        2.226e-01  
      49     sky   754.986   1.565775e+04   1.565753e+04      0.222      79        2.227e-01  
      49     sky   953.773   1.570245e+04   1.570207e+04      0.379     203        2.254e-01  
      48     sky    91.416   1.583326e+04   1.583345e+04      0.189    1332        2.175e-01  
      48     sky   158.466   1.584803e+04   1.584807e+04      0.046     253        2.186e-01  
      48     sky   252.631   1.586924e+04   1.586872e+04      0.512      87        2.200e-01  
      48     sky   717.485   1.597245e+04   1.597270e+04      0.249     305        2.273e-01  
      48     sky   970.618   1.603066e+04   1.603075e+04      0.087     897        2.313e-01  
      47     sky   214.739   1.619454e+04   1.619520e+04      0.656     310        2.239e-01  
      47     sky   393.488   1.623490e+04   1.623551e+04      0.607     374        2.270e-01  
      47     sky   396.876   1.623585e+04   1.623628e+04      0.421     371        2.271e-01  
      47     sky   547.411   1.627063e+04   1.627066e+04      0.033      16        2.297e-01  
      47     sky   686.008   1.630258e+04   1.630267e+04      0.085      25        2.322e-01  
      47     sky   749.403   1.631695e+04   1.631742e+04      0.473     155        2.333e-01  
      47     sky   854.181   1.634147e+04   1.634196e+04      0.490      66        2.351e-01  
      47     sky   897.433   1.635195e+04   1.635214e+04      0.191     195        2.359e-01  
      47     sky   933.166   1.636021e+04   1.636058e+04      0.376      52        2.365e-01  
      46     sky    31.521   1.650224e+04   1.650301e+04      0.766     365        2.250e-01  
      46     sky   258.063   1.655372e+04   1.655448e+04      0.761     138        2.294e-01  
      46     sky   831.644   1.668918e+04   1.668927e+04      0.092      68        2.405e-01  
      46     sky   845.798   1.669237e+04   1.669267e+04      0.305     887        2.408e-01  
      46     sky   914.766   1.670881e+04   1.670933e+04      0.517     190        2.422e-01  
      45     sky   192.153   1.690350e+04   1.690419e+04      0.684     551        2.330e-01  
      45     sky   409.812   1.695501e+04   1.695540e+04      0.388     249        2.376e-01  
      45     sky   633.017   1.700909e+04   1.700897e+04      0.115     414        2.424e-01  
      45     sky   917.100   1.707831e+04   1.707870e+04      0.390     213        2.485e-01  
      44     sky    33.358   1.724793e+04   1.724805e+04      0.123     119        2.343e-01  
      44     sky    39.198   1.724932e+04   1.724942e+04      0.096     112        2.344e-01  
      44     sky   181.125   1.728258e+04   1.728292e+04      0.338      41        2.378e-01  
      44     sky   266.329   1.730319e+04   1.730327e+04      0.078      23        2.397e-01  
      44     sky   380.173   1.733062e+04   1.733071e+04      0.092      88        2.424e-01  
      44     sky   462.517   1.735153e+04   1.735076e+04      0.769      31        2.443e-01  
      44     sky   498.174   1.735959e+04   1.735948e+04      0.102      53        2.452e-01  
      44     sky   592.301   1.738291e+04   1.738267e+04      0.240      50        2.474e-01  
      44     sky   599.489   1.738471e+04   1.738445e+04      0.260      52        2.476e-01  
      44     sky   607.575   1.738650e+04   1.738645e+04      0.057     168        2.478e-01  
      44     sky   769.515   1.742704e+04   1.742688e+04      0.162      87        2.516e-01  
      44     sky   860.766   1.744985e+04   1.744993e+04      0.086     207        2.537e-01  
      43     sky    58.723   1.765321e+04   1.765241e+04      0.801     367        2.398e-01  
      43     sky   696.098   1.781131e+04   1.781051e+04      0.797      57        2.562e-01  
      43     sky   964.332   1.788012e+04   1.788016e+04      0.043     281        2.631e-01  
